order_id,line_item_id,product_id,variant_id,qty,created_at
3653489590405,9615814492293,NULL,NULL,1,2021-03-09T18:53:46Z
3653561712773,9615963619461,NULL,NULL,1,2021-03-09T20:07:06Z
3653561712773,9615963652229,NULL,NULL,1,2021-03-09T20:07:06Z
3653561712773,9615963684997,NULL,NULL,1,2021-03-09T20:07:06Z
3653604343941,9616061137029,NULL,NULL,1,2021-03-09T20:53:05Z
3653604343941,9616061169797,NULL,NULL,1,2021-03-09T20:53:05Z
3653608734853,9616068837509,NULL,NULL,1,2021-03-09T20:58:09Z
3653638619269,9616133816453,NULL,NULL,1,2021-03-09T21:31:18Z
3653640814725,9616139190405,NULL,NULL,1,2021-03-09T21:34:17Z
3653648842885,9616156065925,NULL,NULL,1,2021-03-09T21:43:16Z
3653650677893,9616159768709,NULL,NULL,1,2021-03-09T21:45:34Z
3653650677893,9616159801477,NULL,NULL,1,2021-03-09T21:45:34Z
3653653332101,9616165798021,NULL,NULL,1,2021-03-09T21:48:24Z
3653653332101,9616165830789,NULL,NULL,1,2021-03-09T21:48:24Z
3653667029125,9616193978501,NULL,NULL,1,2021-03-09T22:04:24Z
3653667029125,9616194011269,NULL,NULL,1,2021-03-09T22:04:24Z
3653669126277,9616198795397,NULL,NULL,1,2021-03-09T22:06:46Z
3653669126277,9616198860933,NULL,NULL,1,2021-03-09T22:06:46Z
3654301319301,9617472749701,NULL,NULL,1,2021-03-10T15:21:42Z
3654303580293,9617477861509,NULL,NULL,1,2021-03-10T15:24:18Z
3654307643525,9617486610565,NULL,NULL,1,2021-03-10T15:28:58Z
3654309773445,9617490870405,NULL,NULL,1,2021-03-10T15:31:34Z
3654314066053,9617502765189,NULL,NULL,1,2021-03-10T15:37:09Z
3654316523653,9617508106373,NULL,NULL,1,2021-03-10T15:39:57Z
3654316523653,9617508204677,NULL,NULL,1,2021-03-10T15:39:57Z
3654316523653,9617508270213,NULL,NULL,1,2021-03-10T15:39:57Z
3654319079557,9617513021573,NULL,NULL,1,2021-03-10T15:42:40Z
3654346276997,9617570529413,NULL,NULL,1,2021-03-10T16:11:13Z
